50.74, 2218.09, 61.62, 2048.22, 1854.96, 5749.99, 156.59, 1046.2, 168.02, 4828.84, 170.88, 2036.48, 1958.9, 1653.42, 7139.82, 473.13, 1918.68, 2013.64, 3955.23, 1849.67, 163.69, 2819.97, 1119.32, 649.08, 43.33, Starfleet Assault Cruiser
53.87, 2122.54, 105.26, 2232.41, 1999.15, 4509.32, 183.5, 1131.09, 141.48, 4450.37, 198.62, 2383.43, 1976.65, 1341.7, 6158.08, 764.52, 2848.54, 2228.4, 3274.55, 3110.66, 183.01, 2915.77, 1104.6, 639.04, 64.47, Starfleet Assault Cruiser
49.32, 1689.48, 120.57, 2224.21, 1996.89, 4425.76, 301.03, 858.2, 201.08, 4414.9, 150.01, 2072.67, 1944.74, 1039.8, 8051.67, 717.24, 2406.94, 2106.92, 4137.05, 3215.72, 178.05, 2653.94, 558.08, 992.63, 52.57, Starfleet Assault Cruiser
52.01, 1706.76, 71.74, 2194.28, 2136.52, 4930.42, 191.47, 664.99, 153.94, 4710.73, 143.98, 1677.89, 1994.24, 952.67, 7241.95, 484.35, 2109.11, 2222.15, 3427.05, 2231.76, 123.65, 3171.5, 833.89, 1093.76, 57.57, Starfleet Assault Cruiser
53.17, 2725.3, 102.27, 2187.51, 1857.61, 5983.83, 198.61, 1404.91, 194.17, 4781.57, 179.08, 1491.5, 1989.95, 947.04, 8025.06, 574.37, 1922.11, 2150.17, 4049.78, 3060.18, 153.05, 3118.3, 564.06, 994.83, 72.59, Starfleet Assault Cruiser
50.31, 338.57, 102.46, 2162.82, 2104.26, 5966.69, 144.84, 1307.67, 128.76, 4498.59, 153.76, 2254.96, 1982.64, 1530.52, 7771.65, 648.83, 2100.6, 2176.12, 3100.01, 2623.76, 118.46, 2788.32, 967.65, 737.62, 72.07, Starfleet Assault Cruiser
48.96, 1778.96, 106.69, 2019.61, 1678.54, 5634.29, 247.56, 1302.3, 213.06, 4634.81, 139.45, 2368.17, 1975.49, 894.98, 7099.33, 354.45, 2947.23, 2113.66, 4022.44, 2574.33, 184.73, 2832.6, 812.38, 635.85, 16.74, Starfleet Assault Cruiser
52.41, 1853.08, 51.54, 2205.53, 2118.83, 5656.07, 132.13, 674.63, 112.81, 4201.11, 183.53, 2156.81, 1943.16, 895.1, 7088.17, 620.6, 1913.46, 2351.15, 4036.63, 2732.67, 186.27, 2755.98, 515.61, 1037.09, 34.52, Starfleet Assault Cruiser
51.92, 2684.15, 110.97, 2182.9, 2184.71, 4857.55, 128.31, 1019.71, 128.48, 4442.37, 137.35, 1813.01, 1972.45, 1860.4, 7883.5, 497.94, 2476.05, 2029.92, 2753.11, 2846.43, 124.4, 2667.95, 1066.46, 1108.71, 70.88, Starfleet Assault Cruiser
53.28, 2598.78, 112.37, 2154.15, 1565.88, 5710.95, 233.71, 913.57, 200.21, 4686.21, 169.73, 1511.76, 1967.62, 923.27, 8290.46, 413.03, 2049.03, 2329.83, 4157.66, 2222.22, 155.75, 2733.53, 504.41, 1081.86, 28.72, Starfleet Assault Cruiser
